number,name,sector
104,Satib Africa (Botswana) (Pty) Ltd t/a Safari and Tourism Insurance Brokers,Brokers
105,Southern Summit Reinsurance Company (Pty) Ltd,Brokers
106,South-sure (Pty) Ltd,Brokers
107,Sparkle Insurance services,Brokers
108,Super Insurance Brokers (Pty) Ltd,Brokers
109,Tadzata Construction Company (Pty) Ltd t/a Botshabelo Insurance Brokers,Brokers
110,Thanya Solutions (Pty) Ltd t/a Thanya Insurance Brokers,Brokers
111,The Intrepid Group (Pty) Ltd,Brokers
112,Trinity Insurance Consultancy &amp; Risk Managers (Pty) Ltd,Brokers
113,Trustwave Insurance Brokers (Pty) Ltd,Brokers
114,Tsagae Promotions (Pty) Ltd t/a Lekgota Insurance Brokers,Brokers
115,U &amp; Me Investments (Pty) Ltd t/a U &amp; Me Insurance Brokers,Brokers
116,Ultimate Care Insurance Brokers (Pty) Ltd,Brokers
117,Wealthcover Insurance (Pty) Ltd,Brokers
118,Wiras Investments (Pty) Ltd t/a Wiras Reinsurance Brokers ,Brokers
119,ABSA Insurance  Services(Pty) Ltd,Agencies
120,Abundance International Insurance Agency (Pty) Ltd,Agencies
121,Aflon (Pty) Ltd ,Agencies
122,AGA Sure (Pty) Ltd ,Agencies
123,Alfa First Projects (Pty) Ltd,Agencies
124,Alphacom Investments (Pty) Ltd,Agencies
125,Arise &amp; Shine for the Light (Pty) Ltd t/a Arise &amp; Shine Insurance Agency,Agencies
126,Basic Insticts (Pty) Ltd,Agencies
127,Basic Instincts (Pty) Ltd,Agencies
128,BBS Insurance Agency (Pty) Ltd,Agencies
129,Belleview (Pty) Ltd,Agencies
130,Best Life Insurance Services (Pty) Ltd,Agencies
131,BG Insurance Agency (Pty) Ltd,Agencies
132,Bizotic (Pty) Ltd t/a TM-Fairsure Insurance Agency,Agencies
133,Bokamoso Wealth Life Insurance (Pty) Ltd,Agencies
134,Bonu Insurance Agency (Pty) Ltd,Agencies
135,Bright Minds (Pty) Ltd,Agencies
136,Calvin's Investment (Pty) Ltd,Agencies
137,Carlton Insurance Agency (Pty) Ltd,Agencies
138,Carningham Investments (Pty) Ltd T/A Carningham Insurance Agency,Agencies
139,Carthcart Holdings (Pty) Ltd t/a Carthcart Wealth Managers,Agencies
140,Central Coffins Botswana (Pty) Ltd,Agencies
141,Centre Piece Insurance Agencies (Pty) Ltd,Agencies
142,Centric Sure (Pty) Ltd,Agencies
143,City Group (Pty) Ltd,Agencies
144,Competence Life  (Pty) Ltd,Agencies
145,Coverite (Pty) Ltd,Agencies
